caller_file,caller_symbol,target_file,target_symbol,confidence,line_start,line_end,target_evidence
scripts/generate-codebase-export.mjs,buildImports,unresolved:ts.isStringLiteral,ts.isStringLiteral,low,291,291,
scripts/generate-codebase-export.mjs,buildImports,scripts/generate-codebase-export.mjs,lineRange,medium,293,293,scripts/generate-codebase-export.mjs:133
scripts/generate-codebase-export.mjs,buildImports,unresolved:rows.push,rows.push,low,294,294,
scripts/generate-codebase-export.mjs,buildImports,scripts/generate-codebase-export.mjs,findImportTarget,medium,294,294,scripts/generate-codebase-export.mjs:202
scripts/generate-codebase-export.mjs,buildImports,scripts/generate-codebase-export.mjs,importNames,medium,294,294,scripts/generate-codebase-export.mjs:224
scripts/generate-codebase-export.mjs,buildImports,unresolved:rows.sort,rows.sort,low,297,297,
scripts/generate-codebase-export.mjs,buildImports,unresolved:`${left[0]}:${left[1]}`.localeCompare,`${left[0]}:${left[1]}`.localeCompare,low,297,297,
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,scripts/generate-codebase-export.mjs,sourceFilePath,medium,314,314,scripts/generate-codebase-export.mjs:170
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,unresolved:declarationKinds.has,declarationKinds.has,low,317,317,
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,scripts/generate-codebase-export.mjs,nodeName,medium,318,318,scripts/generate-codebase-export.mjs:139
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,unresolved:index.get,index.get,low,320,320,
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,unresolved:candidates.push,candidates.push,low,321,321,
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,scripts/generate-codebase-export.mjs,lineRange,medium,321,321,scripts/generate-codebase-export.mjs:133
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,unresolved:index.set,index.set,low,322,322,
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,unresolved:ts.forEachChild,ts.forEachChild,low,325,325,
scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,scripts/generate-codebase-export.mjs,visit,medium,327,327,scripts/generate-codebase-export.mjs:71
scripts/generate-codebase-export.mjs,resolveStaticCall,unresolved:ts.isIdentifier,ts.isIdentifier,low,333,333,
scripts/generate-codebase-export.mjs,resolveStaticCall,unresolved:ts.isPropertyAccessExpression,ts.isPropertyAccessExpression,low,335,335,
scripts/generate-codebase-export.mjs,resolveStaticCall,unresolved:index.get,index.get,low,339,339,
scripts/generate-codebase-export.mjs,resolveStaticCall,unresolved:candidates.find,candidates.find,low,340,340,
scripts/generate-codebase-export.mjs,buildCalls,scripts/generate-codebase-export.mjs,buildDeclaredSymbolIndex,medium,344,344,scripts/generate-codebase-export.mjs:300
scripts/generate-codebase-export.mjs,buildCalls,scripts/generate-codebase-export.mjs,sourceFilePath,medium,347,347,scripts/generate-codebase-export.mjs:170
